movie_id,actor_id
1,1
1,2
2,10
3,1
3,2
3,3
3,4
4,5
4,6
4,7
5,8
5,4
6,1
6,2
6,3
6,4
6,5
6,7
6,8
6,10
6,11
7,1
7,2
7,4
8,5
8,6
8,7
9,4
9,8
9,9
10,12
10,13
10,14
11,1
11,3
11,4
11,5
11,8
11,10
11,11
11,17
12,15
12,16
13,1
13,3
13,4
13,8
13,9
13,17
13,20
14,19
15,12
15,13
15,14
16,20
16,21
16,1
17,5
17,7
17,10
18,18
19,1
19,2
19,3
19,4
19,5
19,7
19,8
19,9
19,10
19,12
19,13
19,14
19,17
19,18
19,19
19,20
20,15
20,16
